experiment_id,epoch,train_loss,test_loss,accuracy,delta,lr,best_accuracy,mode,phase,timestamp,generalization_gap,acc_best_so_far,test_loss_best_so_far,train_loss_delta,test_loss_delta,delta_zone,test_loss_rolling_mean,test_loss_rolling_slope,accuracy_rolling_mean,accuracy_rolling_slope,lr_changed
greg_v3_20251222_235207,40,0.38808124182779163,0.34201413015776044,88.62,43.40012750020481,0.01,89.45,NORMAL,CONVERGENCE,2025-12-23T05:17:38.695430,-0.04606711167003119,89.45,0.31692117905314965,-0.013932294591003647,0.025092951104610794,Alerta,0.33338842365560656,-0.004518665541738107,88.84400000000001,0.1578571428571424,False
greg_v3_20251222_235207,41,0.38921636983256813,0.3132434466594382,89.56,-43.61063548057339,0.01,89.56,NORMAL,CONVERGENCE,2025-12-23T05:25:23.096518,-0.07597292317312992,89.56,0.3132434466594382,0.0011351280047764978,-0.028770683498322236,Fora,0.3271965885464149,-0.003000659736759196,89.02000000000001,0.12857142857142836,False
greg_v3_20251222_235207,43,0.380118880544782,0.3102443980265267,89.62,45.613324486206835,0.01,89.62,NORMAL,CONVERGENCE,2025-12-23T05:41:02.502450,-0.06987448251825529,89.62,0.3102443980265267,-0.009097489287786142,-0.002999048632911505,Alerta,0.32373093147821064,-0.004455375688901653,89.19800000000001,0.1557142857142857,False
greg_v3_20251222_235207,49,0.35770713238764906,0.30218752105779284,89.89,50.56874306595286,0.01,89.89,CONQUEST,CONVERGENCE,2025-12-23T06:27:47.434064,-0.05551961132985622,89.89,0.30218752105779284,-0.022411748157132927,-0.008056876968733861,Critica,0.3169221349909336,-0.00470740822351001,89.428,0.19107142857142886,False
greg_v3_20251222_235207,50,0.35658962506314984,0.3087281124501289,89.61,-50.60375432947372,0.01,89.89,NORMAL,CONVERGENCE,2025-12-23T06:35:38.456469,-0.04786151261302096,89.89,0.30218752105779284,-0.0011175073244992229,0.006540591392336037,Fora,0.3152835216703294,-0.005133829330503403,89.46000000000001,0.16035714285714317,False
greg_v3_20251222_235207,52,0.3458602188340843,0.2955283403773851,89.97,53.82688520799622,0.01,89.97,CONQUEST,CONVERGENCE,2025-12-23T06:51:21.552856,-0.050331878456699175,89.97,0.2955283403773851,-0.010729406229065541,-0.013199772072743754,Critica,0.30598636371425436,-0.005064517037292931,89.72999999999999,0.13821428571428485,False
greg_v3_20251222_235207,55,0.3390575024630407,0.2905409104084667,90.07,55.751825360355724,0.01,90.07,CONQUEST,CONVERGENCE,2025-12-23T07:14:51.847310,-0.04851659205457404,90.07,0.2905409104084667,-0.006802716371043571,-0.004987429968918433,Critica,0.30144585646406,-0.006834505621013759,89.832,0.18428571428571264,False
greg_v3_20251222_235207,58,0.33137993194410564,0.29302204051349734,90.32,57.48142711259961,0.01,90.32,CONQUEST,CONVERGENCE,2025-12-23T07:38:24.995940,-0.038357891430608304,90.32,0.2905409104084667,-0.007677570518935084,0.002481130105030649,Critica,0.2980013849614542,-0.0038117990840839406,89.97200000000001,0.11642857142856958,False
greg_v3_20251222_235207,60,0.32377073119211075,0.27655112762239914,90.54,59.834990009813794,0.01,90.54,CONQUEST,CONVERGENCE,2025-12-23T07:54:07.551761,-0.04721960356971161,90.54,0.27655112762239914,-0.007609200751994893,-0.0164709128910982,Critica,0.29287410627437543,-0.004914213369379853,90.102,0.14571428571428513,False
greg_v3_20251222_235207,67,0.2774427570879002,0.2742686086817633,90.89,51.12054413197382,0.005,90.89,CONQUEST,CONVERGENCE,2025-12-23T08:49:47.154631,-0.003174148406136945,90.89,0.2742686086817633,-0.04632797410421052,-0.002282518940635858,Critica,0.2859822055207023,-0.0053791788088369975,90.35799999999999,0.18607142857142883,True
